name,website,location,country,description,category,source,collected_date
doctorly,https://www.doctorly.de/,Berlin,Germany,Cloud-based practice management software with AI integration for medical practices,Electronic Health Records (EHR),Curated List,2025-07-07
Roodie Health,https://www.roodie-health.com/,Germany,Germany,Health navigation platform connecting patients with appropriate healthcare services and digital solutions,Healthcare Marketplaces,Curated List,2025-07-07
Digitale Patientenhilfe,https://digitalepatientenhilfe.de,Munich,Germany,"Platform simplifying processes between doctors, patients, manufacturers and insurance companies for digital health applications (DiGA)",Digital Therapeutics (DTx),Curated List,2025-07-07
CureCurve Medical AI,https://curecurve.de/,Germany,Germany,"AI-powered personalized health solutions for patients, healthcare providers, and pharmaceutical companies",AI/ML in Healthcare,Curated List,2025-07-07
Formel Skin,https://www.formelskin.de/,Berlin,Germany,Teleconsultation and consumer marketplace for dermatology,Telemedicine/Telehealth,Curated List,2025-07-07
Virtonomy,https://www.virtonomy.io/,Munich,Germany,Digital twin technology for medical device development and approval,Medical Education Tech,Curated List,2025-07-07
Zava,https://www.zavamed.com/,Germany,Germany,European telemedicine platform providing online consultations,Telemedicine/Telehealth,Curated List,2025-07-07
Heartbeat Medical,https://heartbeat-med.de/,Berlin,Germany,Platform collecting quality of life data (PROMs) and converting it to Real World Evidence,Health Analytics,Curated List,2025-07-07
DiaMonTech,https://www.diamontech.de/,Berlin,Germany,Non-invasive glucose monitoring technology,Healthcare IoT,Curated List,2025-07-07
Caresyntax,https://www.caresyntax.com/,Berlin,Germany,AI-powered surgery platform for improving surgical outcomes,AI/ML in Healthcare,Curated List,2025-07-07
Sympatient,https://www.sympatient.com/,Germany,Germany,Digital therapy solutions for mental health,Mental Health Tech,Curated List,2025-07-07
Medloop,https://www.medloop.com/,Berlin,Germany,Personal health assistant and EHR platform,Electronic Health Records (EHR),Curated List,2025-07-07
Cliniserve,https://www.cliniserve.de/,Germany,Germany,Digital technologies for nursing processes at hospitals and elderly care facilities,Senior Care Tech,Curated List,2025-07-07
Floy,https://www.floy.com/,Berlin,Germany,AI-powered radiology diagnostics and holistic health insights,Digital Diagnostics,Curated List,2025-07-07
UniteLabs,https://www.unitelabs.io/,Munich,Germany,Operating system for AI-driven biotech research,Research Solutions,Curated List,2025-07-07
Neoplas med,https://www.neoplas-med.de/,Greifswald,Germany,High-precision medical technology for physical cold plasma application,Medical Device,Curated List,2025-07-07
Omeicos Therapeutics,https://www.omeicos.com/,Berlin,Germany,Small molecules based on Omega-3 fatty acid metabolites,Biopharmaceutical,Curated List,2025-07-07
Hema.to,https://hema.to/,Munich,Germany,AI-powered blood cancer detection platform,Digital Diagnostics,Curated List,2025-07-07
Nuuron,https://www.nuuron.com/,Berlin,Germany,Digital Alzheimer's therapy based on neuromodulation technology,Mental Health Tech,Curated List,2025-07-07
Differential Bio,https://www.differential.bio/,Munich,Germany,AI-powered virtual scaleup platform to optimize biomanufacturing,AI/ML in Healthcare,Curated List,2025-07-07
Lucid Genomics,https://lucid-genomics.com/,Berlin,Germany,AI-driven genetic data and insights for faster drug discovery,Drug Discovery,Curated List,2025-07-07
mo:re,https://more.science/,Hamburg,Germany,Laboratory platform automating 3D cell culture models,Research Solutions,Curated List,2025-07-07
Methinks AI,https://methinks.ai/,Barcelona,Spain,AI medical imaging software for stroke diagnosis from CT scans,Digital Diagnostics,Curated List,2025-07-07
Legit.Health,https://legit.health/,Bilbao,Spain,Computer vision and AI for skin condition diagnosis,AI/ML in Healthcare,Curated List,2025-07-07
Mediktor,https://www.mediktor.com/,Barcelona,Spain,AI-based medical assistant for patient triage and care navigation,AI/ML in Healthcare,Curated List,2025-07-07
humanITcare,https://www.humanitcare.com/,Barcelona,Spain,AI-driven patient monitoring and data quality improvement platform,Remote Patient Monitoring,Curated List,2025-07-07
Quibim,https://quibim.com/,Valencia,Spain,"AI for medical imaging analysis (MRI, CT, PET scans)",Digital Diagnostics,Curated List,2025-07-07
IOMED,https://iomed.es/,Barcelona,Spain,AI for extracting and managing healthcare data from medical records,Health Analytics,Curated List,2025-07-07
Idoven,https://idoven.ai/,Madrid,Spain,AI-powered ECG interpretation for cardiovascular disease detection,Digital Diagnostics,Curated List,2025-07-07
Bioptimus,https://www.bioptimus.com/,Paris,France,AI foundation model for biology and biotechnology innovation,AI/ML in Healthcare,Curated List,2025-07-07
Anima Health,https://www.animahealth.com/,London,United Kingdom,Digital health platform for personalized care,Digital Health,Curated List,2025-07-07
thymia,https://www.thymia.ai/,London,United Kingdom,AI-powered mental health assessment platform,Mental Health Tech,Curated List,2025-07-07
Biloba,https://www.biloba.com/,Paris,France,Digital health solutions for patient engagement,Patient Engagement,Curated List,2025-07-07
Yazen,https://www.yazen.se/,Stockholm,Sweden,Digital weight loss clinic with medical support,Telemedicine/Telehealth,Curated List,2025-07-07
Cure51,https://cure51.com/,Paris,France,Bioinformatics platform using computational modeling for oncology therapies,Drug Discovery,Curated List,2025-07-07
Sycai Medical,https://sycai.com/,Barcelona,Spain,AI-powered medical imaging for pancreatic cancer detection,Digital Diagnostics,Curated List,2025-07-07
Eucalyptus,https://www.eucalyptus.vc/,Amsterdam,Netherlands,Digital healthcare company builder,Digital Health,Curated List,2025-07-07
Ovo Labs,https://www.ovo-labs.com/,Vienna,Austria,Therapies for IVF treatments to boost egg quality,Fertility Tech,Curated List,2025-07-07
Hello Inside,https://www.helloinside.com/,Vienna,Austria,Continuous glucose monitoring for metabolic health,Women's Health Tech,Curated List,2025-07-07
